dam	govledh
govledh	,
,	badth
badth	gæljoeji
gæljoeji	jïh
jïh	snjæjroeji
snjæjroeji	gujht
gujht	.
.	Altese
Altese	guhkies
guhkies	gåptoe
gåptoe	barre
barre	goh
goh	ballångine
ballångine	mïnngesne
mïnngesne	,
,	slaepehteminie
slaepehteminie	.
.	Idtji
Idtji	buektehth
buektehth	dam
dam	voestes
voestes	måelhkiem
måelhkiem	tjåadtjodh
tjåadtjodh	guktie
guktie	goesen
goesen	nualan
nualan	,
,	gåptojne
gåptojne	jïh
jïh	gaajhke
gaajhke	dovne
dovne	,
,	staavtjani
staavtjani	.
